Name,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude
ROW297,Assam & Meghalaya,1986,16.4,11.7,28,282.8,159.7,404.2,465,416.4,441.1,300.5,59.5,7.4,2592.7,28.1,470.5,1726.7,367.4,25.91460265,91.84475808
ROW298,Assam & Meghalaya,1987,8.8,27.8,110.4,197.6,199,525.8,766.5,433,445.4,157.8,37.6,11.9,2921.6,36.6,507,2170.7,207.3,25.91460265,91.84475808
ROW299,Assam & Meghalaya,1988,7.3,46.1,82.3,157.9,568.6,403.8,644.2,773.4,329.6,168.3,74.3,5.9,3261.7,53.4,808.8,2151,248.5,25.91460265,91.84475808
ROW300,Assam & Meghalaya,1989,10.5,51.6,30.4,183.4,260.1,488.8,747,267.9,425.8,194.1,16.2,6.5,2682.3,62.1,473.9,1929.5,216.8,25.91460265,91.84475808
ROW301,Assam & Meghalaya,1990,19.2,46.9,96.7,333.7,304.1,513.8,446.4,348.8,441.1,208.3,7,5.2,2771.2,66.1,734.5,1750.1,220.5,25.91460265,91.84475808
ROW302,Assam & Meghalaya,1991,13.7,30.2,62.1,175.7,495.8,517.8,440.5,388.2,437.3,226.2,9.4,41.1,2838,43.9,733.6,1783.8,276.7,25.91460265,91.84475808
ROW303,Assam & Meghalaya,1992,14.7,46.3,62,114.5,292.3,450.9,491.4,339.3,296.9,125,14.3,12.1,2259.7,61,468.8,1578.5,151.4,25.91460265,91.84475808
ROW304,Assam & Meghalaya,1993,73.3,96.9,86.1,138.5,374,619.5,576.9,477.5,296,130.3,8.2,2,2879.2,170.2,598.6,1969.9,140.5,25.91460265,91.84475808
ROW305,Assam & Meghalaya,1994,26.6,42.5,157.2,161.3,282,477.6,308.6,308.7,178.5,147,15.9,15.4,2121.3,69.1,600.5,1273.4,178.3,25.91460265,91.84475808
ROW306,Assam & Meghalaya,1995,8.7,39.7,42,145.7,299.1,663.3,558.4,543.3,404,80.7,94,7.1,2886,48.4,486.8,2169,181.8,25.91460265,91.84475808
ROW307,Assam & Meghalaya,1996,12.8,23.2,101.6,99.2,415.6,397.7,499.6,421.8,224.4,267.2,3.5,0.2,2466.8,36,616.4,1543.5,270.9,25.91460265,91.84475808
ROW308,Assam & Meghalaya,1997,18.2,40.7,91.8,131.9,241.8,569.9,511.2,315.5,366.8,36.4,12.6,35.4,2372.2,58.9,465.5,1763.4,84.4,25.91460265,91.84475808
ROW309,Assam & Meghalaya,1998,11.8,31.5,136.8,185.7,250.6,581.2,604.4,549.5,212.3,190,48.9,0.4,2803.1,43.3,573.1,1947.4,239.3,25.91460265,91.84475808
ROW310,Assam & Meghalaya,1999,2.4,0.5,38.7,150.6,466.8,429,596.7,487.5,196.9,208.6,14.1,2.3,2594.1,2.9,656.1,1710.1,225,25.91460265,91.84475808
ROW311,Assam & Meghalaya,2000,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2486.8,34.2,679.5,1666.6,106.5,25.91460265,91.84475808
ROW312,Assam & Meghalaya,2001,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.6,45.2,495.9,1413.3,224.2,25.91460265,91.84475808
ROW313,Assam & Meghalaya,2002,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.6,25.9,650.1,1589.8,126.8,25.91460265,91.84475808
ROW314,Assam & Meghalaya,2003,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250,231.8,13,18.6,2434.2,51,546.5,1573.3,263.4,25.91460265,91.84475808
ROW315,Assam & Meghalaya,2004,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9,25.91460265,91.84475808
ROW316,Assam & Meghalaya,2005,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8,25.91460265,91.84475808
ROW317,Assam & Meghalaya,2006,0.7,40.9,20.8,169,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.7,41.6,515.5,1208.2,133.4,25.91460265,91.84475808
ROW318,Assam & Meghalaya,2007,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308,494.7,164.7,47.7,4,2752.7,75.2,486,1975.1,216.4,25.91460265,91.84475808
ROW319,Assam & Meghalaya,2008,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,2339.6,44.2,474.3,1683.9,137.2,25.91460265,91.84475808
ROW320,Assam & Meghalaya,2009,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9,4,2068.2,19.5,426.3,1473.5,148.9,25.91460265,91.84475808
ROW321,Assam & Meghalaya,2010,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387,318.3,116.2,11.6,7.6,2711.4,3.6,882.3,1690.1,135.4,25.91460265,91.84475808
ROW322,Assam & Meghalaya,2011,11.1,11.4,109,92.1,238.3,316,395.8,302.6,221.6,30.2,11.9,3.5,1743.5,22.5,439.4,1236,45.6,25.91460265,91.84475808
ROW323,Assam & Meghalaya,2012,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,22.1,493.7,1874.8,218.8,25.91460265,91.84475808
ROW324,Assam & Meghalaya,2013,1.1,9.6,44,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1,2,1816.5,10.7,503.5,1173,129.3,25.91460265,91.84475808
ROW325,Assam & Meghalaya,2014,2,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35,3,0.4,2206.2,30.3,431.9,1705.6,38.4,25.91460265,91.84475808
ROW326,Assam & Meghalaya,2015,13.4,15.5,37.5,250.9,332.5,558.5,300.1,590.9,279.9,62.6,14,15.2,2471,28.9,620.9,1729.4,91.8,25.91460265,91.84475808
ROW327,Assam & Meghalaya,2016,18.9,15.9,64.1,327.8,334,369,498.4,185.3,271.2,136.5,38.2,7.4,2266.7,34.8,725.9,1323.9,182.1,25.91460265,91.84475808
ROW328,Assam & Meghalaya,2017,1.7,37.8,116.7,310.9,268.4,485.2,429,483.1,345.4,212.1,10.3,11,2711.6,39.5,696,1742.7,233.4,25.91460265,91.84475808
